spring-1  | 2026-08-20T09:09:31.897596698Z {"@timestamp":"2026-08-20T09:09:31.897081615Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":7064,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T09:09:30.853056Z","notificationRecordedAt":"2026-08-20T09:09:31.881426Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":1028,"processingDurationMs":14,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:31.917404371Z {"@timestamp":"2026-08-20T09:09:31.91694185Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":7065,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T09:09:30.993609Z","notificationRecordedAt":"2026-08-20T09:09:31.899679Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":906,"processingDurationMs":14,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:31.938556170Z {"@timestamp":"2026-08-20T09:09:31.938066793Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":7066,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T09:09:31.118486Z","notificationRecordedAt":"2026-08-20T09:09:31.919951Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":801,"processingDurationMs":16,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:31.958493615Z {"@timestamp":"2026-08-20T09:09:31.957970302Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":7067,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T09:09:31.282730Z","notificationRecordedAt":"2026-08-20T09:09:31.940559Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":657,"processingDurationMs":16,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:31.978531449Z {"@timestamp":"2026-08-20T09:09:31.978067369Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":7068,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T09:09:31.383244Z","notificationRecordedAt":"2026-08-20T09:09:31.960375Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":577,"processingDurationMs":16,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:31.999433648Z {"@timestamp":"2026-08-20T09:09:31.998999361Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":7069,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T09:09:31.490317Z","notificationRecordedAt":"2026-08-20T09:09:31.980560Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":490,"processingDurationMs":16,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:32.035917889Z {"@timestamp":"2026-08-20T09:09:32.035480303Z","level":"INFO","requestId":"95bc7433-3350-4ff4-930c-3df2cad76dad","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:32.038986939Z {"@timestamp":"2026-08-20T09:09:32.037392041Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":7070,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T09:09:31.649583Z","notificationRecordedAt":"2026-08-20T09:09:32.013054Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":363,"processingDurationMs":27,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:32.069713460Z {"@timestamp":"2026-08-20T09:09:32.069165631Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":7071,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T09:09:31.744524Z","notificationRecordedAt":"2026-08-20T09:09:32.046807Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":302,"processingDurationMs":24,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:32.089236228Z {"@timestamp":"2026-08-20T09:09:32.088699844Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":7072,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T09:09:31.871901Z","notificationRecordedAt":"2026-08-20T09:09:32.072020Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":200,"processingDurationMs":15,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:32.108451805Z {"@timestamp":"2026-08-20T09:09:32.10797426Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":7073,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T09:09:32.009798Z","notificationRecordedAt":"2026-08-20T09:09:32.091327Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":81,"processingDurationMs":14,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:32.116978506Z {"@timestamp":"2026-08-20T09:09:32.116490976Z","level":"INFO","event":"notification_outbox_relay_batch_completed","claimedCount":20,"processedCount":20,"retryScheduledCount":0,"failedCount":0,"durationMs":562,"oldestProcessableAgeMs":null,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:32.257877213Z {"@timestamp":"2026-08-20T09:09:32.257473104Z","level":"INFO","requestId":"a67ddb92-7696-4b47-86bb-68703522890e","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:32.532895315Z {"@timestamp":"2026-08-20T09:09:32.531031339Z","level":"INFO","requestId":"86566db6-38b2-4759-a472-32d272f4d2a1","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:32.776483662Z {"@timestamp":"2026-08-20T09:09:32.775738828Z","level":"INFO","requestId":"6ef08fab-265b-490b-b317-6118f2b76092","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:33.153393287Z {"@timestamp":"2026-08-20T09:09:33.148207323Z","level":"INFO","requestId":"34df890a-3773-4d71-9228-a6006fa33c79","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:33.407405526Z {"@timestamp":"2026-08-20T09:09:33.406989438Z","level":"INFO","requestId":"bbd4c75b-dea2-43f3-b893-3a57476bbb95","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:33.542018614Z {"@timestamp":"2026-08-20T09:09:33.541542341Z","level":"INFO","requestId":"fd93e041-a996-4927-9267-f030cb5d1e2b","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:33.775715120Z {"@timestamp":"2026-08-20T09:09:33.774863144Z","level":"INFO","requestId":"497169bd-050e-4dd6-957d-f26832b908b1","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:34.031327328Z {"@timestamp":"2026-08-20T09:09:34.02951497Z","level":"INFO","requestId":"4d4e4bc6-777e-45f0-b23e-a0ebde6734a9","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:34.271008573Z {"@timestamp":"2026-08-20T09:09:34.270613367Z","level":"INFO","requestId":"cf6232b7-bc1d-4de7-b394-e51921cca967","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:34.503209226Z {"@timestamp":"2026-08-20T09:09:34.502847955Z","level":"INFO","requestId":"2058f33b-bc01-428d-8205-f4d88b4e826c","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:34.768593357Z {"@timestamp":"2026-08-20T09:09:34.768205133Z","level":"INFO","requestId":"54cdfe53-de2d-404c-aa26-c9a5fea698ca","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
